,Environment,Trial,c_CNN_time,c_DNN_time,c_LSTM_time,c_transformer_time,g_CNN_time,g_DNN_time,g_transformer_time,g_LSTM_time
0,datahub1,1,10.059s,13.676s,87.395s,68.193s,"['1.451s', '1.159ms']","['22.576ms', '2.880ms']","['81.142ms', '9.617ms']",
1,datahub10,1,22.238ms,50.162ms,274.854ms,261.713ms,"['1.309s', '930.000us']","['11.884ms', '2.466ms']","['32.986ms', '6.056ms']",
2,datahub2,1,4.267s,4.488s,62.788s,15.780s,"['1.384s', '1.154ms']","['17.723ms', '2.864ms']","['92.822ms', '9.504ms']",
3,datahub3,1,675.796ms,1.191s,7.188s,4.690s,"['1.573s', '1.138ms']","['18.172ms', '2.858ms']","['60.954ms', '9.515ms']",
4,datahub4,1,26.471ms,235.421ms,789.155ms,1.127s,"['1.549s', '1.174ms']","['20.413ms', '2.864ms']","['59.692ms', '9.808ms']",
5,datahub5,1,119.312ms,147.005ms,813.041ms,495.764ms,"['1.469s', '1.139ms']","['16.187ms', '2.862ms']","['57.146ms', '9.494ms']",
6,datahub6,1,19.016s,55.792ms,1971.799s,166.497s,"['1.115s', '935.000us']","['12.194ms', '2.468ms']","['41.017ms', '6.058ms']",
7,datahub7,1,8.634s,46.449ms,903.916s,67.301s,"['1.240s', '935.000us']","['12.700ms', '2.475ms']","['33.814ms', '6.028ms']",
8,datahub8,1,291.756ms,56.872ms,909.861ms,6.987s,"['1.254s', '932.000us']","['20.241ms', '2.464ms']","['34.279ms', '6.034ms']",
9,datahub9,1,83.435ms,49.028ms,380.283ms,701.389ms,"['1.491s', '936.000us']","['11.830ms', '2.481ms']","['33.039ms', '6.075ms']",
12,env1,1,71.589ms,60.689ms,221.471ms,357.480ms,,,,
13,env1,2,13.843ms,60.252ms,148.735ms,344.164ms,,,,
14,env1,3,13.284ms,59.453ms,143.268ms,360.393ms,,,,
15,env10,1,14.664ms,33.273ms,111.977ms,121.118ms,,,,
16,env10,2,14.709ms,33.690ms,111.234ms,122.770ms,,,,
17,env10,3,13.799ms,33.773ms,114.363ms,124.569ms,,,,
18,env2,1,21.971ms,61.970ms,107.128ms,205.548ms,,,,
19,env2,2,11.617ms,60.317ms,105.891ms,200.521ms,,,,
20,env2,3,12.306ms,63.927ms,108.644ms,201.643ms,,,,
21,env3,1,10.953ms,59.821ms,84.922ms,137.619ms,,,,
22,env3,2,11.352ms,60.234ms,85.673ms,138.297ms,,,,
23,env3,3,11.142ms,61.594ms,84.064ms,137.727ms,,,,
24,env4,1,11.210ms,62.681ms,84.568ms,80.929ms,,,,
25,env4,2,11.347ms,62.476ms,80.260ms,82.048ms,,,,
26,env4,3,11.151ms,62.754ms,82.044ms,81.149ms,,,,
27,env5,1,15.743ms,55.400ms,128.378ms,215.670ms,,,,
28,env5,2,16.063ms,88.372ms,209.533ms,237.182ms,,,,
29,env5,3,15.947ms,55.172ms,130.996ms,210.458ms,,,,
30,env6,1,19.026ms,67.073ms,157.885ms,229.046ms,,,,
31,env6,2,19.374ms,66.017ms,161.089ms,244.494ms,,,,
32,env6,3,19.466ms,65.179ms,160.641ms,246.903ms,,,,
33,env7,1,16.030ms,53.058ms,129.476ms,203.399ms,,,,
34,env7,2,16.209ms,53.096ms,127.890ms,187.536ms,,,,
35,env7,3,16.124ms,53.281ms,128.862ms,204.722ms,,,,
36,env8,1,18.098ms,101.194ms,166.049ms,351.392ms,,,,
37,env8,2,18.588ms,99.798ms,166.293ms,350.000ms,,,,
38,env8,3,17.479ms,97.773ms,168.605ms,331.944ms,,,,
39,env9,1,15.990ms,52.985ms,126.101ms,206.221ms,,,,
40,env9,2,16.263ms,53.330ms,127.396ms,201.290ms,,,,
41,env9,3,15.607ms,55.033ms,128.863ms,187.897ms,,,,
