--------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                            Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
--------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                     aten::empty         0.04%      56.000us         0.04%      56.000us       5.600us     132.000us         0.08%     132.000us      13.200us      60.94 Kb      60.94 Kb     183.00 Kb     183.00 Kb            10  
                        aten::to         0.02%      39.000us         0.08%     131.000us      43.667us      49.000us         0.03%     145.000us      48.333us           0 b           0 b      61.00 Kb           0 b             3  
                aten::lift_fresh         0.00%       2.000us         0.00%       2.000us       2.000us       5.000us         0.00%       5.000us       5.000us           0 b           0 b           0 b           0 b             1  
                  aten::_to_copy         0.03%      44.000us         0.06%      92.000us      92.000us      29.000us         0.02%      96.000us      96.000us           0 b           0 b      61.00 Kb           0 b             1  
             aten::empty_strided         0.01%      11.000us         0.01%      11.000us      11.000us      24.000us         0.02%      24.000us      24.000us           0 b           0 b      61.00 Kb      61.00 Kb             1  
                     aten::copy_         8.81%      13.763ms         8.81%      13.763ms       6.881ms      13.854ms         8.87%      13.854ms       6.927ms           0 b           0 b           0 b           0 b             2  
                   aten::permute         0.03%      47.000us         0.04%      59.000us      59.000us      48.000us         0.03%      65.000us      65.000us           0 b           0 b           0 b           0 b             1  
                aten::as_strided         0.02%      30.000us         0.02%      30.000us       2.308us     112.000us         0.07%     112.000us       8.615us           0 b           0 b           0 b           0 b            13  
                    aten::conv1d         0.03%      51.000us        86.15%     134.605ms      67.302ms      55.000us         0.04%     134.614ms      67.307ms           0 b           0 b     122.00 Kb           0 b             2  
               aten::convolution         0.07%     105.000us        86.12%     134.554ms      67.277ms     101.000us         0.06%     134.559ms      67.279ms           0 b           0 b     122.00 Kb           0 b             2  
              aten::_convolution         0.31%     480.000us        86.05%     134.449ms      67.225ms     331.000us         0.21%     134.458ms      67.229ms           0 b           0 b     122.00 Kb     -61.00 Kb             2  
