-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference         0.94%      13.638ms       100.00%        1.451s        1.451s       0.000us         0.00%       1.159ms       1.159ms           0 b    -609.38 Kb       8.42 Mb      -4.24 Mb             1  
                                           aten::conv1d         0.04%     584.000us        98.45%        1.428s      71.423ms       0.000us         0.00%     717.000us      35.850us           0 b           0 b       1.19 Mb     183.00 Kb            20  
                                      aten::convolution         0.02%     243.000us        98.44%        1.428s      71.417ms       0.000us         0.00%     834.000us      41.700us           0 b           0 b       1.19 Mb     -61.00 Kb            20  
                                     aten::_convolution         0.03%     459.000us        98.42%        1.428s      71.405ms       0.000us         0.00%     834.000us      41.700us           0 b           0 b       1.25 Mb    -610.00 Kb            20  
                                aten::cudnn_convolution         4.23%      61.397ms        98.29%        1.426s      71.308ms     739.000us        63.76%     739.000us      36.950us           0 b           0 b       1.19 Mb       1.19 Mb            20  
                                               cudaFree        44.17%     640.928ms        44.17%     640.928ms     160.232ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                       cudaLaunchKernel        39.81%     577.677ms        39.81%     577.677ms       3.209ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           180  
                              cudaStreamCreateWithFlags        10.02%     145.327ms        10.02%     145.327ms       9.083ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            16  
                                               aten::to         0.17%       2.493ms         0.23%       3.304ms     165.200us       0.000us         0.00%      44.000us       2.200us           0 b           0 b     610.00 Kb      61.00 Kb            20  
                                       aten::batch_norm         0.02%     222.000us         0.12%       1.807ms      90.350us       0.000us         0.00%      54.000us       2.700us           0 b           0 b       1.19 Mb     122.00 Kb            20  
