-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference        41.40%      25.234ms        99.99%      60.947ms      60.947ms       0.000us         0.00%      10.744ms      10.744ms          48 b    -609.80 Kb      14.46 Mb    -255.28 Mb             1  
                                           aten::linear         2.04%       1.241ms        22.54%      13.737ms      98.121us       0.000us         0.00%       6.951ms      49.650us           0 b           0 b     117.19 Mb           0 b           140  
                                            aten::addmm        10.30%       6.280ms        17.23%      10.502ms      75.014us       6.177ms        64.92%       6.951ms      49.650us           0 b           0 b     117.19 Mb     117.19 Mb           140  
                                       cudaLaunchKernel         7.37%       4.495ms         7.37%       4.495ms      11.829us     539.000us         5.66%     539.000us       1.418us           0 b           0 b           0 b           0 b           380  
                                       aten::layer_norm         0.40%     243.000us         6.68%       4.069ms      67.817us       0.000us         0.00%     396.000us       6.600us           0 b           0 b      17.75 Mb     303.00 Kb            60  
                                aten::native_layer_norm         2.96%       1.802ms         6.36%       3.879ms      64.650us     360.000us         3.78%     402.000us       6.700us           0 b           0 b      17.75 Mb           0 b            60  
                     aten::scaled_dot_product_attention         0.87%     531.000us         5.13%       3.129ms     104.300us       0.000us         0.00%       1.927ms      64.233us         480 b           0 b       9.08 Mb           0 b            30  
                                            aten::copy_         1.19%     728.000us         4.93%       3.003ms      50.050us     510.000us         5.36%     540.000us       9.000us           0 b           0 b           0 b           0 b            60  
                                        cudaMemcpyAsync         4.65%       2.835ms         4.65%       2.835ms      70.875us      46.000us         0.48%      46.000us       1.150us           0 b           0 b           0 b           0 b            40  
                                               aten::to         0.99%     605.000us         4.47%       2.726ms      68.150us       0.000us         0.00%     346.000us       8.650us           0 b           0 b       3.53 Mb         512 b            40  
