-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference        66.96%      11.621ms        99.95%      17.346ms      17.346ms       0.000us         0.00%       2.862ms       2.862ms           0 b    -609.38 Kb      77.50 Kb    -979.50 Kb             1  
                                           aten::linear         1.07%     186.000us        15.60%       2.708ms      45.133us       0.000us         0.00%       2.649ms      44.150us           0 b           0 b     160.00 Kb           0 b            60  
                                            aten::addmm         9.12%       1.582ms        11.97%       2.077ms      34.617us       2.649ms        92.56%       2.649ms      44.150us           0 b           0 b     160.00 Kb     160.00 Kb            60  
                                             aten::relu         1.88%     326.000us         6.51%       1.130ms      22.600us       0.000us         0.00%     100.000us       2.000us           0 b           0 b     155.00 Kb           0 b            50  
                                               aten::to         3.09%     537.000us         5.76%       1.000ms      50.000us       0.000us         0.00%      40.000us       2.000us           0 b           0 b     610.00 Kb     122.00 Kb            20  
                                       cudaLaunchKernel         4.78%     830.000us         4.78%     830.000us       6.917us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           120  
                                        aten::clamp_min         2.96%     513.000us         4.63%     804.000us      16.080us     100.000us         3.49%     100.000us       2.000us           0 b           0 b     155.00 Kb     155.00 Kb            50  
                                         aten::_to_copy         0.44%      77.000us         3.31%     575.000us      57.500us       0.000us         0.00%      50.000us       5.000us           0 b           0 b     610.00 Kb           0 b            10  
                                                aten::t         1.26%     218.000us         2.56%     445.000us       7.417us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            60  
                                            aten::copy_         0.50%      87.000us         2.44%     424.000us      42.400us      50.000us         1.75%      50.000us       5.000us           0 b           0 b           0 b           0 b            10  
                                        cudaMemcpyAsync         2.35%     407.000us         2.35%     407.000us      20.350us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            20  
