-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference        41.69%      29.205ms        99.99%      70.045ms      70.045ms       0.000us         0.00%      10.685ms      10.685ms          48 b    -609.80 Kb      14.46 Mb    -255.05 Mb             1  
                                           aten::linear         2.06%       1.440ms        24.68%      17.291ms     123.507us       0.000us         0.00%       6.904ms      49.314us           0 b           0 b     117.19 Mb           0 b           140  
                                            aten::addmm        10.43%       7.308ms        19.12%      13.394ms      95.671us       6.135ms        64.82%       6.904ms      49.314us           0 b           0 b     117.19 Mb     117.19 Mb           140  
                     aten::scaled_dot_product_attention         3.87%       2.710ms         8.77%       6.146ms     204.867us       0.000us         0.00%       1.926ms      64.200us         480 b           0 b       9.08 Mb           0 b            30  
                                       aten::layer_norm         0.46%     322.000us         6.14%       4.299ms      71.650us       0.000us         0.00%     390.000us       6.500us           0 b           0 b      17.75 Mb     606.00 Kb            60  
                                       cudaLaunchKernel         5.94%       4.158ms         5.94%       4.158ms      10.942us     531.000us         5.61%     531.000us       1.397us           0 b           0 b           0 b           0 b           380  
                                aten::native_layer_norm         3.11%       2.181ms         5.83%       4.087ms      68.117us     360.000us         3.80%     402.000us       6.700us           0 b           0 b      17.75 Mb           0 b            60  
          aten::_scaled_dot_product_efficient_attention         1.23%     863.000us         4.90%       3.436ms     114.533us       0.000us         0.00%       1.926ms      64.200us         480 b           0 b       9.08 Mb           0 b            30  
                                             cudaMalloc         4.88%       3.421ms         4.88%       3.421ms     488.714us       4.000us         0.04%       4.000us       0.571us           0 b           0 b           0 b           0 b             7  
                                               aten::to         1.13%     790.000us         4.14%       2.900ms      72.500us       0.000us         0.00%     313.000us       7.825us           0 b           0 b       3.53 Mb     361.50 Kb            40  
