--------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                            Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
--------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                 model_inference         3.40%      15.234ms       100.00%     447.913ms     447.913ms      14.526ms         3.24%     447.972ms     447.972ms           0 b    -609.38 Kb       8.42 Mb      -3.89 Mb             1  
                    aten::conv1d         0.09%     401.000us        82.64%     370.165ms      18.508ms     397.000us         0.09%     370.722ms      18.536ms           0 b           0 b       1.19 Mb           0 b            20  
               aten::convolution         0.13%     568.000us        82.55%     369.764ms      18.488ms     551.000us         0.12%     370.325ms      18.516ms           0 b           0 b       1.19 Mb    -122.00 Kb            20  
              aten::_convolution         0.72%       3.206ms        82.43%     369.196ms      18.460ms       2.138ms         0.48%     369.774ms      18.489ms           0 b           0 b       1.31 Mb    -488.00 Kb            20  
         aten::cudnn_convolution        73.50%     329.200ms        73.50%     329.200ms      16.460ms     330.207ms        73.71%     330.207ms      16.510ms           0 b           0 b       1.19 Mb       1.19 Mb            20  
                       aten::max         4.46%      19.966ms         4.46%      19.979ms       1.998ms      20.056ms         4.48%      20.183ms       2.018ms           0 b           0 b      10.00 Kb      10.00 Kb            10  
                      aten::relu         0.17%     744.000us         4.45%      19.913ms     995.650us     634.000us         0.14%      19.866ms     993.300us           0 b           0 b       1.19 Mb           0 b            20  
                 aten::clamp_min         4.28%      19.169ms         4.28%      19.169ms     958.450us      19.232ms         4.29%      19.232ms     961.600us           0 b           0 b       1.19 Mb       1.19 Mb            20  
                aten::contiguous         0.04%     182.000us         4.27%      19.113ms       1.911ms     142.000us         0.03%      19.250ms       1.925ms           0 b           0 b     610.00 Kb           0 b            10  
                     aten::clone         0.08%     365.000us         4.23%      18.931ms       1.893ms     279.000us         0.06%      19.108ms       1.911ms           0 b           0 b     610.00 Kb           0 b            10  
