-------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                  model_inference        34.34%      55.343ms       100.00%     161.155ms     161.155ms      42.112ms        26.14%     161.082ms     161.082ms          48 b    -609.80 Kb      14.46 Mb    -253.22 Mb             1  
                                     aten::linear         6.30%      10.152ms        23.66%      38.127ms     272.336us       7.044ms         4.37%      39.748ms     283.914us           0 b           0 b     117.19 Mb           0 b           140  
                                      aten::addmm         8.56%      13.796ms        10.49%      16.910ms     120.786us      14.722ms         9.14%      19.315ms     137.964us           0 b           0 b     117.19 Mb     117.19 Mb           140  
               aten::scaled_dot_product_attention         0.82%       1.324ms        10.25%      16.520ms     550.667us       1.121ms         0.70%      16.251ms     541.700us         480 b           0 b       9.08 Mb           0 b            30  
    aten::_scaled_dot_product_efficient_attention         2.54%       4.091ms         9.43%      15.196ms     506.533us       2.405ms         1.49%      15.130ms     504.333us         480 b           0 b       9.08 Mb           0 b            30  
                                 aten::layer_norm         0.75%       1.204ms         8.22%      13.248ms     220.800us       1.161ms         0.72%      13.705ms     228.417us           0 b           0 b      17.75 Mb           0 b            60  
                          aten::native_layer_norm         6.99%      11.260ms         7.47%      12.044ms     200.733us       9.013ms         5.60%      12.544ms     209.067us           0 b           0 b      17.75 Mb           0 b            60  
                                        aten::mul         6.39%      10.293ms         6.39%      10.293ms       1.029ms      10.699ms         6.64%      10.699ms       1.070ms           0 b           0 b       2.93 Mb       2.93 Mb            10  
                                  aten::transpose         5.58%       8.991ms         5.83%       9.392ms      24.716us       9.228ms         5.73%      13.034ms      34.300us           0 b           0 b           0 b           0 b           380  
               aten::_efficient_attention_forward         5.15%       8.294ms         5.39%       8.693ms     289.767us       8.358ms         5.19%       9.760ms     325.333us         480 b           8 b       9.08 Mb           0 b            30  
